Date,Open,High,Low,Close,Adj Close,Volume
2010-05-17,7.710300,8.223000,7.672600,8.140500,8.140500,0
2010-05-24,8.134800,8.148200,7.729000,7.948800,7.948800,0
2010-05-31,7.948600,7.972000,7.836200,7.913500,7.913500,0
2010-06-07,7.914700,8.014900,7.808000,7.818500,7.818500,0
2010-06-14,7.815300,7.935000,7.805100,7.864700,7.864700,0
2010-06-21,7.862900,8.034001,7.824800,7.964100,7.964100,0
2010-06-28,7.963600,8.096900,7.874000,8.081000,8.081000,0
2010-07-05,8.082600,8.110100,7.460000,8.028700,8.028700,0
2010-07-12,8.028900,8.112500,7.325000,8.105100,8.105100,0
2010-07-19,8.106500,8.183400,7.895000,7.961800,7.961800,0
2010-07-26,7.963000,8.030100,7.893300,7.908000,7.908000,0
2010-08-02,7.912600,7.930000,7.848900,7.889000,7.889000,0
2010-08-09,7.908100,8.001500,7.882800,7.925300,7.925300,0
2010-08-16,7.911700,7.984000,7.869800,7.928900,7.928900,0
2010-08-23,7.922500,8.034600,7.887000,8.005800,8.005800,0
2010-08-30,7.945300,8.041000,7.854200,7.871900,7.871900,0
2010-09-06,7.865200,7.906400,7.832000,7.850300,7.850300,0
2010-09-13,7.845700,7.994100,7.835000,7.965900,7.965900,0
2010-09-20,7.953300,7.963600,7.873200,7.930000,7.930000,0
2010-09-27,7.919400,8.045000,7.885000,8.010000,8.010000,0
2010-10-04,8.035100,8.129440,8.006900,8.101900,8.101900,0
2010-10-11,8.098600,8.148300,8.051700,8.071700,8.071700,0
2010-10-18,8.091800,8.174501,8.077300,8.147300,8.147300,0
2010-10-25,8.087500,8.251300,8.057201,8.125500,8.125500,0
2010-11-01,8.156100,8.216400,8.078600,8.142000,8.142000,0
2010-11-08,8.073700,8.150300,8.039000,8.095000,8.095000,0
2010-11-15,8.150900,8.205800,8.118600,8.160800,8.160800,0
2010-11-22,8.189800,8.209200,8.108800,8.122200,8.122200,0
2010-11-29,8.159001,8.159300,7.990600,8.033200,8.033200,0
2010-12-06,7.988900,7.999100,7.923800,7.986000,7.986000,0
2010-12-13,7.937100,7.940700,7.854900,7.874800,7.874800,0
2010-12-20,7.875800,7.881400,7.813400,7.821400,7.821400,0
2010-12-27,7.822400,7.850500,7.791900,7.810600,7.810600,0
2011-01-03,7.784500,7.830990,7.716000,7.745200,7.745200,0
